     2    0.53158E+02    0.91457E-03    0.16384E-02    0.62293E-01
     3    0.42514E+02    0.96172E-03    0.16540E-02    0.13910E-02
     4    0.39976E+02    0.86781E-03    0.14317E-02   -0.16494E-01
     5    0.39095E+02    0.68521E-03    0.11167E-02   -0.21083E-01
     6    0.38816E+02    0.49927E-03    0.81447E-03   -0.20716E-01
     7    0.38822E+02    0.36221E-03    0.58061E-03   -0.18975E-01
     8    0.38947E+02    0.28927E-03    0.43011E-03   -0.17596E-01
     9    0.39134E+02    0.27330E-03    0.35481E-03   -0.16967E-01
    10    0.39348E+02    0.29674E-03    0.33744E-03   -0.17073E-01
    11    0.39535E+02    0.34393E-03    0.35950E-03   -0.18033E-01
    12    0.39646E+02    0.40424E-03    0.40626E-03   -0.19517E-01
    13    0.39713E+02    0.47290E-03    0.46845E-03   -0.21440E-01
    14    0.39785E+02    0.54689E-03    0.53906E-03   -0.23809E-01
    15    0.39882E+02    0.62529E-03    0.61529E-03   -0.26610E-01
    16    0.40005E+02    0.70773E-03    0.69560E-03   -0.29821E-01
    17    0.40118E+02    0.79393E-03    0.77935E-03   -0.33406E-01
    18    0.40182E+02    0.88368E-03    0.86619E-03   -0.37317E-01
    19    0.40197E+02    0.97695E-03    0.95596E-03   -0.41458E-01
    20    0.40174E+02    0.10738E-02    0.10486E-02   -0.45755E-01
    21    0.40120E+02    0.11742E-02    0.11440E-02   -0.50265E-01
    22    0.40044E+02    0.12783E-02    0.12420E-02   -0.55052E-01
    23    0.39947E+02    0.13858E-02    0.13424E-02   -0.60085E-01
    24    0.39828E+02    0.14966E-02    0.14451E-02   -0.65312E-01
    25    0.39690E+02    0.16102E-02    0.15499E-02   -0.70714E-01
    26    0.39534E+02    0.17263E-02    0.16565E-02   -0.76268E-01
    27    0.39363E+02    0.18443E-02    0.17650E-02   -0.81924E-01
    28    0.39175E+02    0.19639E-02    0.18754E-02   -0.87648E-01
    29    0.38971E+02    0.20864E-02    0.19875E-02   -0.93496E-01
    30    0.38749E+02    0.22130E-02    0.21013E-02   -0.99525E-01
    31    0.38514E+02    0.23432E-02    0.22165E-02   -0.10569E+00
    32    0.38266E+02    0.24764E-02    0.23330E-02   -0.11193E+00
    33    0.38005E+02    0.26113E-02    0.24507E-02   -0.11824E+00
    34    0.37729E+02    0.27471E-02    0.25693E-02   -0.12458E+00
    35    0.37440E+02    0.28843E-02    0.26883E-02   -0.13097E+00
    36    0.37139E+02    0.30234E-02    0.28076E-02   -0.13737E+00
    37    0.36828E+02    0.31646E-02    0.29272E-02   -0.14378E+00
    38    0.36506E+02    0.33078E-02    0.30475E-02   -0.15015E+00
    39    0.36173E+02    0.34525E-02    0.31680E-02   -0.15649E+00
    40    0.35830E+02    0.35982E-02    0.32885E-02   -0.16279E+00
    41    0.35476E+02    0.37447E-02    0.34085E-02   -0.16906E+00
