     2    0.10899E+04    0.33829E-01    0.16401E-02    0.28286E+01
     3    0.10251E+04    0.45138E-01    0.16575E-02    0.31490E+01
     4    0.96984E+03    0.41464E-01    0.14375E-02    0.29837E+01
     5    0.92918E+03    0.29783E-01    0.11255E-02    0.25793E+01
     6    0.90138E+03    0.17951E-01    0.82670E-03    0.21120E+01
     7    0.88358E+03    0.99734E-02    0.59692E-03    0.16827E+01
     8    0.87276E+03    0.60175E-02    0.45108E-03    0.13394E+01
     9    0.86747E+03    0.44991E-02    0.38103E-03    0.10930E+01
    10    0.86623E+03    0.39053E-02    0.36950E-03    0.93970E+00
    11    0.86760E+03    0.34981E-02    0.39800E-03    0.86598E+00
    12    0.87215E+03    0.32726E-02    0.45177E-03    0.85524E+00
    13    0.87825E+03    0.29920E-02    0.52158E-03    0.88382E+00
    14    0.88503E+03    0.30063E-02    0.60040E-03    0.92838E+00
    15    0.89292E+03    0.32535E-02    0.68544E-03    0.98148E+00
    16    0.90245E+03    0.35750E-02    0.77515E-03    0.10402E+01
    17    0.91356E+03    0.40588E-02    0.86891E-03    0.11011E+01
    18    0.92529E+03    0.46554E-02    0.96635E-03    0.11624E+01
    19    0.93848E+03    0.53694E-02    0.10673E-02    0.12239E+01
    20    0.95146E+03    0.62614E-02    0.11718E-02    0.12836E+01
    21    0.96460E+03    0.72948E-02    0.12796E-02    0.13447E+01
    22    0.97823E+03    0.84929E-02    0.13906E-02    0.14095E+01
    23    0.99217E+03    0.98558E-02    0.15047E-02    0.14759E+01
    24    0.10065E+04    0.11351E-01    0.16217E-02    0.15411E+01
    25    0.10211E+04    0.13012E-01    0.17413E-02    0.16023E+01
    26    0.10359E+04    0.14842E-01    0.18635E-02    0.16587E+01
    27    0.10511E+04    0.16826E-01    0.19881E-02    0.17087E+01
    28    0.10666E+04    0.18974E-01    0.21151E-02    0.17516E+01
    29    0.10824E+04    0.21302E-01    0.22446E-02    0.17868E+01
    30    0.10983E+04    0.23831E-01    0.23763E-02    0.18131E+01
    31    0.11143E+04    0.26574E-01    0.25102E-02    0.18319E+01
    32    0.11307E+04    0.29528E-01    0.26459E-02    0.18445E+01
    33    0.11474E+04    0.32687E-01    0.27834E-02    0.18487E+01
    34    0.11643E+04    0.36056E-01    0.29225E-02    0.18432E+01
    35    0.11813E+04    0.39655E-01    0.30626E-02    0.18296E+01
    36    0.11983E+04    0.43505E-01    0.32036E-02    0.18087E+01
    37    0.12154E+04    0.47604E-01    0.33455E-02    0.17785E+01
    38    0.12329E+04    0.51950E-01    0.34887E-02    0.17383E+01
    39    0.12508E+04    0.56539E-01    0.36329E-02    0.16879E+01
    40    0.12688E+04    0.61377E-01    0.37776E-02    0.16269E+01
    41    0.12870E+04    0.66474E-01    0.39224E-02    0.15549E+01
    42    0.13052E+04    0.71840E-01    0.40673E-02    0.14710E+01
    43    0.13236E+04    0.77489E-01    0.42122E-02    0.13744E+01
    44    0.13419E+04    0.83415E-01    0.43569E-02    0.12654E+01
    45    0.13606E+04    0.89628E-01    0.45013E-02    0.11442E+01
    46    0.13795E+04    0.96133E-01    0.46455E-02    0.10091E+01
    47    0.13985E+04    0.10293E+00    0.47891E-02    0.86094E+00
    48    0.14177E+04    0.11001E+00    0.49322E-02    0.70390E+00
    49    0.14369E+04    0.11735E+00    0.50744E-02    0.54152E+00
    50    0.14565E+04    0.12493E+00    0.52157E-02    0.37055E+00
    51    0.14763E+04    0.13270E+00    0.53560E-02    0.18632E+00
    52    0.14965E+04    0.14077E+00    0.54950E-02   -0.15869E-01
    53    0.15167E+04    0.14927E+00    0.56328E-02   -0.23890E+00
    54    0.15367E+04    0.15821E+00    0.57692E-02   -0.47768E+00
    55    0.15569E+04    0.16756E+00    0.59042E-02   -0.72700E+00
    56    0.15775E+04    0.17720E+00    0.60377E-02   -0.98793E+00
    57    0.15983E+04    0.18700E+00    0.61696E-02   -0.12604E+01
    58    0.16195E+04    0.19697E+00    0.62996E-02   -0.15452E+01
    59    0.16408E+04    0.20714E+00    0.64279E-02   -0.18432E+01
    60    0.16622E+04    0.21757E+00    0.65541E-02   -0.21540E+01
    61    0.16842E+04    0.22835E+00    0.66783E-02   -0.24766E+01
    62    0.17060E+04    0.23945E+00    0.68004E-02   -0.28122E+01
    63    0.17279E+04    0.25085E+00    0.69203E-02   -0.31617E+01
    64    0.17502E+04    0.26256E+00    0.70380E-02   -0.35265E+01
    65    0.17725E+04    0.27455E+00    0.71534E-02   -0.39071E+01
    66    0.17952E+04    0.28677E+00    0.72665E-02   -0.43018E+01
    67    0.18180E+04    0.29920E+00    0.73772E-02   -0.47080E+01
    68    0.18413E+04    0.31189E+00    0.74855E-02   -0.51240E+01
    69    0.18647E+04    0.32480E+00    0.75912E-02   -0.55482E+01
    70    0.18884E+04    0.33797E+00    0.76944E-02   -0.59824E+01
    71    0.19123E+04    0.35138E+00    0.77949E-02   -0.64290E+01
    72    0.19363E+04    0.36501E+00    0.78928E-02   -0.68893E+01
    73    0.19605E+04    0.37882E+00    0.79881E-02   -0.73637E+01
    74    0.19849E+04    0.39280E+00    0.80808E-02   -0.78510E+01
    75    0.20097E+04    0.40697E+00    0.81708E-02   -0.83497E+01
    76    0.20347E+04    0.42131E+00    0.82583E-02   -0.88589E+01
    77    0.20600E+04    0.43583E+00    0.83432E-02   -0.93783E+01
    78    0.20858E+04    0.45055E+00    0.84254E-02   -0.99096E+01
    79    0.21117E+04    0.46541E+00    0.85050E-02   -0.10449E+02
    80    0.21379E+04    0.48041E+00    0.85820E-02   -0.10997E+02
